Log Node ID,Day,Field,Value
"BSA SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Htruck",0
"BSA SUPPLY POINT",0,IS OPEN,TRUE
"BSA SUPPLY POINT",4,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",375000
"BSA SUPPLY POINT",4,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",125000
"BSA SUPPLY POINT",4,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",335000
"BSA SUPPLY POINT",4,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",110000
"BSA SUPPLY POINT",4,MAX STORAGE CAPACITY BY SUPPLY TYPE,"FUEL",500000
"BSA SUPPLY POINT",4,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",250000
"BSA SUPPLY POINT",4,TRANSPORTATION ASSET QTY,"Ltruck",10
"BSA SUPPLY POINT",4,TRANSPORTATION ASSET QTY,"Mtruck",10
"BSA SUPPLY POINT",4,TRANSPORTATION ASSET QTY,"Htruck",2
"OBJ BLUE SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",0
"OBJ BLUE SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",0
"OBJ BLUE SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",0
"OBJ BLUE SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",0
"OBJ BLUE SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"FUEL",0
"OBJ BLUE SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",0
"OBJ BLUE SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Ltruck",0
"OBJ BLUE SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"CH-53K",0
"OBJ BLUE SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"LCAC",0
"OBJ BLUE SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Mtruck",0
"OBJ BLUE SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Htruck",0
"OBJ BLUE SUPPLY POINT",0,IS OPEN,TRUE
"OBJ BLUE SUPPLY POINT",9,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",1000000
"OBJ BLUE SUPPLY POINT",9,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",275000
"OBJ BLUE SUPPLY POINT",9,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",4000000
"OBJ BLUE SUPPLY POINT",9,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",440000
"OBJ BLUE SUPPLY POINT",9,MAX STORAGE CAPACITY BY SUPPLY TYPE,"FUEL",1500000
"OBJ BLUE SUPPLY POINT",9,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",13000000
"OBJ BLUE SUPPLY POINT",9,TRANSPORTATION ASSET QTY,"CH-53K",2
"OBJ BLUE SUPPLY POINT",9,TRANSPORTATION ASSET QTY,"Mtruck",10
"OBJ BLUE SUPPLY POINT",9,TRANSPORTATION ASSET QTY,"Htruck",20
"OBJ YELLOW SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",0
"OBJ YELLOW SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",0
"OBJ YELLOW SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",0
"OBJ YELLOW SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",0
"OBJ YELLOW SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"FUEL",0
"OBJ YELLOW SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",0
"OBJ YELLOW SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Ltruck",0
"OBJ YELLOW SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"CH-53K",0
"OBJ YELLOW SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"LCAC",0
"OBJ YELLOW SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Mtruck",0
"OBJ YELLOW SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Htruck",0
"OBJ YELLOW SUPPLY POINT",0,IS OPEN,TRUE
"OBJ YELLOW SUPPLY POINT",17,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",500000
"OBJ YELLOW SUPPLY POINT",17,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",300000
"OBJ YELLOW SUPPLY POINT",17,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",500000
"OBJ YELLOW SUPPLY POINT",17,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",250000
"OBJ YELLOW SUPPLY POINT",17,MAX STORAGE CAPACITY BY SUPPLY TYPE,"FUEL",1500000
"OBJ YELLOW SUPPLY POINT",17,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",875000
"OBJ YELLOW SUPPLY POINT",17,TRANSPORTATION ASSET QTY,"CH-53K",2
"OBJ YELLOW SUPPLY POINT",17,TRANSPORTATION ASSET QTY,"Mtruck",5
"OBJ YELLOW SUPPLY POINT",17,TRANSPORTATION ASSET QTY,"Htruck",15
