Unit ID,Day,Field,Value
"GS CLR",0,STRENGTH,0
"GS CLR",0,POSTURE,DEFEND
"GS CLR",0,CONSUMPTION CLASS,"Armour"
"GS CLR",0,PRIORITIZATION CLASS,"GenericPC"
"GS CLR",0,REQUIRED DAYS OF SUPPLY,0
"GS CLR",0,DOMAIN,LAND
"GS CLR",0,SUPPLY INCREMENT,"AMMO",0
"GS CLR",0,SUPPLY INCREMENT,"JP-5",0
"GS CLR",0,SUPPLY INCREMENT,"DIESEL",0
"GS CLR",0,SUPPLY INCREMENT,"WATER",0
"GS CLR",0,SUPPLY INCREMENT,"DRY_BULK",0
"DS CLB",0,STRENGTH,0
"DS CLB",0,POSTURE,DEFEND
"DS CLB",0,CONSUMPTION CLASS,"Armour"
"DS CLB",0,PRIORITIZATION CLASS,"GenericPC"
"DS CLB",0,REQUIRED DAYS OF SUPPLY,0
"DS CLB",0,DOMAIN,LAND
"DS CLB",0,SUPPLY INCREMENT,"AMMO",0
"DS CLB",0,SUPPLY INCREMENT,"JP-5",0
"DS CLB",0,SUPPLY INCREMENT,"DIESEL",0
"DS CLB",0,SUPPLY INCREMENT,"WATER",0
"DS CLB",0,SUPPLY INCREMENT,"DRY_BULK",0
"Bridge Co(-)",0,STRENGTH,0
"Bridge Co(-)",0,POSTURE,DEFEND
"Bridge Co(-)",0,CONSUMPTION CLASS,"Infantry"
"Bridge Co(-)",0,PRIORITIZATION CLASS,"GenericPC"
"Bridge Co(-)",0,REQUIRED DAYS OF SUPPLY,0
"Bridge Co(-)",0,DOMAIN,LAND
"Bridge Co(-)",0,SUPPLYING LOG NODE,"AMMO","Beachhead"
"Bridge Co(-)",0,SUPPLY INCREMENT,"AMMO",0
"Bridge Co(-)",0,SUPPLYING LOG NODE,"JP-5","Beachhead"
"Bridge Co(-)",0,SUPPLY INCREMENT,"JP-5",0
"Bridge Co(-)",0,SUPPLYING LOG NODE,"DIESEL","Beachhead"
"Bridge Co(-)",0,SUPPLY INCREMENT,"DIESEL",0
"Bridge Co(-)",0,SUPPLYING LOG NODE,"WATER","Beachhead"
"Bridge Co(-)",0,SUPPLY INCREMENT,"WATER",0
"Bridge Co(-)",0,SUPPLYING LOG NODE,"DRY_BULK","Beachhead"
"Bridge Co(-)",0,SUPPLY INCREMENT,"DRY_BULK",0
"Beachhead",0,LOCATION,26.0843969,-80.16097149
"Beachhead",0,STRENGTH,1
"Beachhead",0,POSTURE,LOG_NODE
"Beachhead",0,CONSUMPTION CLASS,"Generic"
"Beachhead",0,PRIORITIZATION CLASS,"GenericPC"
"Beachhead",0,REQUIRED DAYS OF SUPPLY,0
"Beachhead",0,DOMAIN,SHORE
"Beachhead",0,SUPPLYING LOG NODE,"AMMO","At Sea"
"Beachhead",0,SUPPLY INCREMENT,"AMMO",0
"Beachhead",0,SUPPLYING LOG NODE,"JP-5","At Sea"
"Beachhead",0,SUPPLY INCREMENT,"JP-5",50000
"Beachhead",0,SUPPLYING LOG NODE,"DIESEL","At Sea"
"Beachhead",0,SUPPLY INCREMENT,"DIESEL",50000
"Beachhead",0,SUPPLYING LOG NODE,"WATER","At Sea"
"Beachhead",0,SUPPLY INCREMENT,"WATER",50000
"Beachhead",0,SUPPLYING LOG NODE,"DRY_BULK","At Sea"
"Beachhead",0,SUPPLY INCREMENT,"DRY_BULK",50000
"At Sea",0,LOCATION,26.02045537,-79.94726898
"At Sea",0,STRENGTH,1
"At Sea",0,POSTURE,LOG_NODE
"At Sea",0,CONSUMPTION CLASS,"Generic"
"At Sea",0,PRIORITIZATION CLASS,"GenericPC"
"At Sea",0,REQUIRED DAYS OF SUPPLY,2
"At Sea",0,DOMAIN,SEA
"At Sea",0,SUPPLY INCREMENT,"AMMO",150000000
"At Sea",0,SUPPLY INCREMENT,"JP-5",150000000
"At Sea",0,SUPPLY INCREMENT,"DIESEL",150000000
"At Sea",0,SUPPLY INCREMENT,"WATER",250000000
"At Sea",0,SUPPLY INCREMENT,"DRY_BULK",15000000
"Everglades",0,LOCATION,25.9665446529165,-80.4461927454216
"Everglades",0,STRENGTH,1
"Everglades",0,POSTURE,LOG_NODE
"Everglades",0,CONSUMPTION CLASS,"Generic"
"Everglades",0,PRIORITIZATION CLASS,"GenericPC"
"Everglades",0,REQUIRED DAYS OF SUPPLY,2
"Everglades",0,DOMAIN,LAND
"Everglades",0,SUPPLYING LOG NODE,"AMMO","Beachhead"
"Everglades",0,SUPPLY INCREMENT,"AMMO",50000
"Everglades",0,SUPPLYING LOG NODE,"JP-5","Beachhead"
"Everglades",0,SUPPLY INCREMENT,"JP-5",50000
"Everglades",0,SUPPLYING LOG NODE,"DIESEL","Beachhead"
"Everglades",0,SUPPLY INCREMENT,"DIESEL",50000
"Everglades",0,SUPPLYING LOG NODE,"WATER","Beachhead"
"Everglades",0,SUPPLY INCREMENT,"WATER",0
"Everglades",0,SUPPLYING LOG NODE,"DRY_BULK","Beachhead"
"Everglades",0,SUPPLY INCREMENT,"DRY_BULK",50000
"Everglades",1,LOCATION,25.96779764,-80.45686726
"My 'test"" unit",0,STRENGTH,0
"My 'test"" unit",0,POSTURE,SYSTEM GENERATED
"My 'test"" unit",0,CONSUMPTION CLASS,"SYSTEM GENERATED"
"My 'test"" unit",0,PRIORITIZATION CLASS,"SYSTEM GENERATED"
"My 'test"" unit",0,REQUIRED DAYS OF SUPPLY,0
"My 'test"" unit",0,DOMAIN,SHORE
"My 'test"" unit",0,SUPPLY INCREMENT,"AMMO",0
"My 'test"" unit",0,SUPPLY INCREMENT,"JP-5",0
"My 'test"" unit",0,SUPPLY INCREMENT,"DIESEL",0
"My 'test"" unit",0,SUPPLY INCREMENT,"WATER",0
"My 'test"" unit",0,SUPPLY INCREMENT,"DRY_BULK",0
